b,fold,h,zero_frac,base,+thermal,+holiday,hol_n,+both
Fox_education_Theodore,fold2,12,0.0,0.449964694778145,0.40728628128312205,0.4251578675755512,0,0.44985740348531555
Fox_education_Theodore,fold2,18,0.0,0.4557658237965646,0.49047880220736717,0.4635420064483624,0,0.4537167979091289
Fox_education_Theodore,fold2,24,0.0,0.43040184484298266,0.43522192671174137,0.42913247230504553,0,0.42877361044538986
Fox_education_Theodore,fold3,1,0.004166666666666667,0.48379809147597885,0.47868707413232636,0.4865868790868155,0,0.4884664898173298
Fox_education_Theodore,fold3,6,0.004166666666666667,0.8147428995668176,0.8131196286381946,0.795519351725074,0,0.7911688892608351
Fox_education_Theodore,fold3,12,0.004166666666666667,0.8040876344940148,0.7594846585181576,0.7772460613031232,0,0.7952730033162486
Fox_education_Theodore,fold3,18,0.004166666666666667,0.7438538180188335,0.7382415631794635,0.7464317821436472,0,0.7456473204385035
Fox_education_Theodore,fold3,24,0.004166666666666667,0.6898610395815937,0.7007091652730938,0.6907668830929891,0,0.6750939351189239
Fox_office_Essie,fold0,1,0.5194444444444445,0.38723680216596723,0.3716486722318846,0.3698536664680542,48,0.38920929844186153
Fox_office_Essie,fold0,6,0.5194444444444445,0.5930639258228587,0.5836765314285929,0.6019081313446969,48,0.5778635191895358
Fox_office_Essie,fold0,12,0.5194444444444445,0.6412438676753139,0.619250212463051,0.5981868683250829,48,0.6099220757552456
Fox_office_Essie,fold0,18,0.5194444444444445,0.6051474467014228,0.5802166458012258,0.5665186598360197,48,0.5669694142714868
Fox_office_Essie,fold0,24,0.5194444444444445,0.5774064479253037,0.5875658180998065,0.5858843115885913,48,0.5737229547956553
Fox_office_Essie,fold1,1,0.09305555555555556,0.46099219996341656,0.4537439446597212,0.4419669042363549,24,0.4451709108514351
Fox_office_Essie,fold1,6,0.09305555555555556,0.6279415247132587,0.6158807352470914,0.641934924599501,24,0.6542870310611846
Fox_office_Essie,fold1,12,0.09305555555555556,0.7556517949881447,0.7782648155211187,0.7635451545595505,24,0.7813745850810715
Fox_office_Essie,fold1,18,0.09305555555555556,0.6962096326530183,0.6994247164977209,0.6901902263386969,24,0.6823392533515228
Fox_office_Essie,fold1,24,0.09305555555555556,0.6720172411035501,0.652717465978393,0.6514751689368413,24,0.6429105640311502
Fox_office_Essie,fold2,1,0.006944444444444444,0.36605859181033645,0.3592987600158301,0.35565961328891,0,0.34284133447705384
Fox_office_Essie,fold2,6,0.006944444444444444,0.4584929603744375,0.44884943706022407,0.4679930685071056,0,0.4599982449093843
Fox_office_Essie,fold2,12,0.006944444444444444,0.5180301747181224,0.5130239297181174,0.5036160850165953,0,0.5031240261740326
Fox_office_Essie,fold2,18,0.006944444444444444,0.5274206882346293,0.5098321427730682,0.5295710734224568,0,0.5426324391679963
Fox_office_Essie,fold2,24,0.006944444444444444,0.503271484761859,0.5064965738439916,0.4755087602661552,0,0.4814569380318867
Fox_office_Essie,fold3,1,0.005555555555555556,0.6269295085385146,0.6018828959034337,0.6146712214306495,0,0.602031321896921
Fox_office_Essie,fold3,6,0.005555555555555556,0.7905411509355678,0.7926813817188755,0.8062827034245792,0,0.7647589695602696
Fox_office_Essie,fold3,12,0.005555555555555556,0.9314547060119832,0.9557627820678161,0.9563127046939995,0,0.945675536408905
Fox_office_Essie,fold3,18,0.005555555555555556,0.8456746620703834,0.8962476175566005,0.8519303070293471,0,0.8936378054039348
Fox_office_Essie,fold3,24,0.005555555555555556,0.857277810198618,0.8775765677753556,0.8333755943611589,0,0.8240370376638624
